ts,iso,side,price,qty,setup,score,regime,atrScale,hwmScale,setup11TradeId
1716471900000,2024-05-23T13:45:00.000Z,LONG,68166.89,0.001000,agg(9),9,RANGE,0.980,1.000,
1716495300000,2024-05-23T20:15:00.000Z,LONG,67364.02,0.001000,agg(9),9,RANGE,0.744,1.000,
1716867900000,2024-05-28T03:45:00.000Z,LONG,67870,0.001052,agg(9),9,RANGE,1.052,1.000,
1717166700000,2024-05-31T14:45:00.000Z,LONG,67466.27,0.001013,agg(9),9,RANGE,1.013,1.000,
1717172100000,2024-05-31T16:15:00.000Z,LONG,66721.35,0.001000,agg(9),9,RANGE,0.952,1.000,
1717783200000,2024-06-07T18:00:00.000Z,LONG,69111,0.001027,agg(9),9,RANGE,1.027,1.000,
1718073000000,2024-06-11T02:30:00.000Z,LONG,68046.43,0.001206,agg(9),9,RANGE,1.206,1.000,
1718222400000,2024-06-12T20:00:00.000Z,LONG,67514.84,0.001000,agg(9),9,RANGE,0.669,1.000,
1718293500000,2024-06-13T15:45:00.000Z,LONG,66605.3,0.001000,agg(9),9,RANGE,0.819,1.000,
1718381700000,2024-06-14T16:15:00.000Z,LONG,65834.22,0.001000,agg(9),9,RANGE,0.978,1.000,
1718646300000,2024-06-17T17:45:00.000Z,SHORT,66326.94,0.001000,aggS(9),9,RANGE,0.901,1.000,
1718675100000,2024-06-18T01:45:00.000Z,LONG,64857.99,0.001000,agg(9),9,RANGE,0.797,1.000,
1719222300000,2024-06-24T09:45:00.000Z,LONG,61314.14,0.001000,agg(9),9,RANGE,0.708,1.000,
1719976500000,2024-07-03T03:15:00.000Z,LONG,60896.02,0.001176,agg(9),9,RANGE,1.176,1.000,
1720057500000,2024-07-04T01:45:00.000Z,LONG,59272.01,0.001000,agg(9),9,RANGE,0.988,1.000,
1720082700000,2024-07-04T08:45:00.000Z,LONG,57620.5,0.001000,agg(9),9,RANGE,0.735,1.000,
1720136700000,2024-07-04T23:45:00.000Z,LONG,57251.1,0.001000,agg(9),9,RANGE,0.767,1.000,
1720148400000,2024-07-05T03:00:00.000Z,LONG,55650.7,0.006324,agg(11),11,BEAR,0.486,1.000,
1720399500000,2024-07-08T00:45:00.000Z,LONG,55209.36,0.001000,agg(9),9,BEAR,0.711,1.000,
1720427400000,2024-07-08T08:30:00.000Z,SHORT,56687.86,0.001000,aggS(9),9,BEAR,0.703,1.000,
1720449000000,2024-07-08T14:30:00.000Z,LONG,55337.07,0.001000,agg(9),9,BEAR,0.489,1.000,
1720585800000,2024-07-10T04:30:00.000Z,SHORT,59038,0.001000,aggS(9),9,BEAR,0.825,1.000,
1720994400000,2024-07-14T22:00:00.000Z,SHORT,61158,0.001103,aggS(9),9,RANGE,1.103,1.000,
1721081700000,2024-07-15T22:15:00.000Z,LONG,64090.01,0.005908,S10,3,RANGE,0.844,1.000,
1721107800000,2024-07-16T05:30:00.000Z,LONG,64130.03,0.001082,agg(9),9,BULL,1.082,1.000,
1721113200000,2024-07-16T07:00:00.000Z,LONG,63137.99,0.001000,agg(9),9,BULL,0.838,1.000,
1721315700000,2024-07-18T15:15:00.000Z,LONG,63660.95,0.001032,agg(9),9,BULL,1.032,1.000,
1721585700000,2024-07-21T18:15:00.000Z,LONG,66483.65,0.001000,agg(9),9,BULL,0.860,1.000,
1722112200000,2024-07-27T20:30:00.000Z,LONG,67064.03,0.007438,agg(10),10,BULL,0.620,1.000,
1722265200000,2024-07-29T15:00:00.000Z,LONG,68258.74,0.001000,agg(9),9,RANGE,0.898,1.000,
1722299400000,2024-07-30T00:30:00.000Z,LONG,66429.68,0.001000,agg(9),9,RANGE,0.886,1.000,
1722793500000,2024-08-04T17:45:00.000Z,LONG,57835.99,0.018705,agg(10)+S9,10,BEAR,0.603,1.000,
1722838500000,2024-08-05T06:15:00.000Z,LONG,50894,0.001000,agg(9),9,BEAR,0.400,1.000,
1722862800000,2024-08-05T13:00:00.000Z,LONG,50083.16,0.012400,agg(10)+S9,10,BEAR,0.400,1.000,
1722869100000,2024-08-05T14:45:00.000Z,SHORT,53881.24,0.001000,aggS(9),9,BEAR,0.400,1.000,
1723041000000,2024-08-07T14:30:00.000Z,LONG,55998.14,0.001000,agg(9),9,BEAR,0.668,1.000,
1723081500000,2024-08-08T01:45:00.000Z,SHORT,56704.01,0.005890,aggS(10),10,BEAR,0.491,1.000,
1723121100000,2024-08-08T12:45:00.000Z,SHORT,57864.95,0.001000,aggS(9),9,BEAR,0.727,1.000,
1723153500000,2024-08-08T21:45:00.000Z,SHORT,60473.77,0.001000,aggS(9),9,BEAR,0.711,1.000,
1723158000000,2024-08-08T23:00:00.000Z,SHORT,62249.99,0.006218,aggS(10),10,BEAR,0.518,1.000,
1723408200000,2024-08-11T20:30:00.000Z,LONG,58604.99,0.004687,agg(10),10,BEAR,0.781,1.000,
1723644000000,2024-08-14T14:00:00.000Z,LONG,59522,0.001000,agg(9),9,BEAR,0.622,1.000,
1723745700000,2024-08-15T18:15:00.000Z,LONG,57606.37,0.001000,agg(9),9,BEAR,0.655,1.000,
1723749300000,2024-08-15T19:15:00.000Z,LONG,57269.65,0.001000,agg(9),9,BEAR,0.569,1.000,
1724025600000,2024-08-19T00:00:00.000Z,LONG,58374,0.001000,agg(9),9,BEAR,1.183,1.000,
